"","country","matches","goals","country_flag"
"1","United States",585,1747,"🇺🇸"
"2","Germany",418,1213,"🇩🇪"
"3","Sweden",478,1080,"🇸🇪"
"4","Norway",463,1072,"🇳🇴"
"5","China PR",464,1070,"🇨🇳"
"6","Japan",384,998,"🇯🇵"
"7","Denmark",431,907,"🇩🇰"
"8","England",375,889,"🇬🇧"
"9","Brazil",309,844,"🇧🇷"
"10","France",363,829,"🇫🇷"
"11","Italy",390,808,"🇮🇹"
"12","Australia",307,761,"🇦🇺"
"13","Thailand",291,736,"🇹🇭"
"14","Canada",343,696,"🇨🇦"
"15","South Korea",305,685,"🇰🇷"
"16","Spain",267,682,"🇪🇸"
"17","Netherlands",332,681,"🇳🇱"
"18","North Korea",190,659,"🇰🇵"
"19","Vietnam",239,653,"🇻🇳"
"20","Mexico",286,551,"🇲🇽"
"21","Taiwan",222,530,"🇹🇼"
"22","Myanmar",184,497,"❓"
"23","Scotland",250,488,"🇬🇧"
"24","New Zealand",218,486,"🇳🇿"
"25","Iceland",267,479,"🇮🇸"
"26","Belgium",245,476,"🇧🇪"
"27","South Africa",227,451,"🇿🇦"
"28","Nigeria",199,450,"🇳🇬"
"29","Costa Rica",209,445,"🇨🇷"
"30","Switzerland",266,439,"🇨🇭"
"31","Russia",228,432,"🇷🇺"
"32","Finland",339,414,"🇫🇮"
"33","India",141,398,"🇮🇳"
"34","Czech Republic",188,387,"❓"
"35","Romania",194,367,"🇷🇴"
"36","Hungary",211,357,"🇭🇺"
"37","Portugal",293,348,"🇵🇹"
"38","Austria",189,347,"🇦🇹"
"39","Poland",195,340,"🇵🇱"
"40","Republic of Ireland",227,318,"🇮🇪"
"41","Jordan",117,311,"🇯🇴"
"42","Ukraine",180,303,"🇺🇦"
"43","Trinidad and Tobago",127,298,"❓"
"44","Slovakia",179,295,"🇸🇰"
"45","Jamaica",125,291,"🇯🇲"
"46","Haiti",106,273,"🇭🇹"
"47","Philippines",174,263,"🇵🇭"
"48","Wales",203,260,"🇬🇧"
"49","Ghana",135,259,"🇬🇭"
"50","Papua New Guinea",94,259,"🇵🇬"
"51","Uzbekistan",103,259,"🇺🇿"
"52","Zambia",123,246,"🇿🇲"
"53","Belarus",146,226,"🇧🇾"
"54","Argentina",143,215,"🇦🇷"
"55","Slovenia",125,214,"🇸🇮"
"56","Guatemala",93,212,"🇬🇹"
"57","Nepal",88,204,"🇳🇵"
"58","Northern Ireland",177,202,"🇬🇧"
"59","Colombia",136,198,"🇨🇴"
"60","Estonia",189,197,"🇪🇪"
"61","Faroe Islands",107,194,"🇫🇴"
"62","Cameroon",131,192,"🇨🇲"
"63","Chile",136,187,"🇨🇱"
"64","Greece",155,187,"🇬🇷"
"65","Tanzania",98,184,"🇹🇿"
"66","Serbia",108,175,"🇷🇸"
"67","Panama",90,166,"🇵🇦"
"68","Iran",68,165,"🇮🇷"
"69","Cuba",47,155,"🇨🇺"
"70","Croatia",157,154,"🇭🇷"
"71","Israel",134,153,"🇮🇱"
"72","Zimbabwe",88,152,"🇿🇼"
"73","Malawi",53,149,"🇲🇼"
"74","Mali",88,149,"🇲🇱"
"75","Turkey",116,145,"🇹🇷"
"76","Lithuania",124,143,"🇱🇹"
"77","Ivory Coast",70,137,"❓"
"78","Puerto Rico",52,136,"🇵🇷"
"79","Åland",32,136,"❓"
"80","Fiji",64,135,"🇫🇯"
"81","Hong Kong",145,134,"❓"
"82","Algeria",80,133,"🇩🇿"
"83","El Salvador",64,133,"🇸🇻"
"84","Kenya",59,128,"🇰🇪"
"85","Dominican Republic",50,126,"🇩🇴"
"86","Bosnia and Herzegovina",137,125,"❓"
"87","Ethiopia",61,123,"🇪🇹"
"88","Latvia",120,123,"🇱🇻"
"89","Bermuda",50,122,"🇧🇲"
"90","Morocco",79,115,"🇲🇦"
"91","Senegal",75,113,"🇸🇳"
"92","Venezuela",73,111,"🇻🇪"
"93","Tunisia",54,109,"🇹🇳"
"94","Ecuador",69,99,"🇪🇨"
"95","Bangladesh",57,98,"🇧🇩"
"96","Malta",108,98,"🇲🇹"
"97","Uganda",59,95,"🇺🇬"
"98","Isle of Man",44,94,"🇮🇲"
"99","Malaysia",118,94,"🇲🇾"
"100","Equatorial Guinea",56,93,"🇬🇶"
"101","Nicaragua",72,92,"🇳🇮"
"102","Paraguay",60,91,"🇵🇾"
"103","Kazakhstan",117,90,"🇰🇿"
"104","Montenegro",68,90,"🇲🇪"
"105","Botswana",75,88,"🇧🇼"
"106","Indonesia",96,86,"🇮🇩"
"107","Egypt",40,84,"🇪🇬"
"108","Lebanon",50,83,"🇱🇧"
"109","Guam",63,82,"🇬🇺"
"110","Jersey",36,82,"🇯🇪"
"111","Namibia",54,81,"🇳🇦"
"112","New Caledonia",34,80,"🇳🇨"
"113","Suriname",39,80,"🇸🇷"
"114","Bulgaria",99,77,"🇧🇬"
"115","Guyana",33,76,"🇬🇾"
"116","Albania",73,72,"🇦🇱"
"117","Bahrain",45,71,"🇧🇭"
"118","Uruguay",60,69,"🇺🇾"
"119","FR Yugoslavia",28,68,"❓"
"120","Kosovo",51,67,"❓"
"121","Tonga",53,66,"🇹🇴"
"122","DR Congo",49,64,"❓"
"123","Gotland",21,64,"❓"
"124","Samoa",44,62,"🇼🇸"
"125","Solomon Islands",46,61,"🇸🇧"
"126","Western Isles",27,61,"❓"
"127","Honduras",44,60,"🇭🇳"
"128","Isle of Wight",30,60,"❓"
"129","Luxembourg",46,60,"🇱🇺"
"130","Saint Kitts and Nevis",26,60,"❓"
"131","Saint Lucia",28,59,"❓"
"132","Mozambique",38,57,"🇲🇿"
"133","Palestine",58,57,"❓"
"134","Singapore",104,55,"🇸🇬"
"135","Georgia",74,54,"🇬🇪"
"136","Laos",52,54,"🇱🇦"
"137","United Arab Emirates",32,53,"🇦🇪"
"138","Burundi",26,50,"🇧🇮"
"139","Barbados",28,49,"🇧🇧"
"140","Vanuatu",34,47,"🇻🇺"
"141","Moldova",79,46,"🇲🇩"
"142","Tahiti",36,46,"❓"
"143","Angola",33,45,"🇦🇴"
"144","Azerbaijan",59,43,"🇦🇿"
"145","Peru",58,43,"🇵🇪"
"146","North Macedonia",44,42,"🇲🇰"
"147","Guernsey",24,41,"🇬🇬"
"148","Armenia",61,40,"🇦🇲"
"149","Aruba",33,40,"🇦🇼"
"150","Ynys Môn",24,40,"❓"
"151","Sápmi",7,39,"❓"
"152","Bhutan",32,38,"🇧🇹"
"153","Burkina Faso",25,38,"🇧🇫"
"154","Cyprus",50,38,"🇨🇾"
"155","Greenland",19,36,"🇬🇱"
