"","scorer","team","goals","penalties","first_match","last_match","country_flag"
"1","Birgit Prinz","Germany",159,0,"1995-02-23","2009-09-10","🇩🇪"
"2","Alex Morgan","United States",95,0,"2011-07-13","2021-07-24","🇺🇸"
"3","Vivianne Miedema","Netherlands",91,0,"2017-07-29","2025-07-05","🇳🇱"
"4","Marta","Brazil",85,10,"2003-09-21","2021-07-24","🇧🇷"
"5","Ann Kristin Aarønes","Norway",76,0,"1995-02-26","1999-06-30","🇳🇴"
"6","Marianne Pettersen","Norway",69,0,"1995-06-10","2003-09-27","🇳🇴"
"7","Carli Lloyd","United States",66,2,"2008-08-09","2021-08-05","🇺🇸"
"8","Stina Blackstenius","Sweden",66,0,"2016-08-12","2025-07-17","🇸🇪"
"9","Inka Grings","Germany",65,1,"1999-06-24","2011-07-05","🇩🇪"
"10","Heidi Mohr","Germany",63,0,"1989-07-02","1996-07-21","🇩🇪"
"11","Michelle Akers","United States",61,2,"1991-11-19","1999-07-04","🇺🇸"
"12","Melanie Behringer","Germany",59,2,"2007-09-10","2016-08-16","🇩🇪"
"13","Abby Wambach","United States",58,3,"2003-09-25","2015-06-16","🇺🇸"
"14","Frida Maanum","Norway",57,0,"2022-07-07","2025-07-10","🇳🇴"
"15","Bettina Wiegmann","Germany",56,9,"1991-11-19","2003-09-27","🇩🇪"
"16","Lieke Martens","Netherlands",56,1,"2015-06-06","2023-08-01","🇳🇱"
"17","Renate Lingor","Germany",56,3,"1999-06-24","2007-09-22","🇩🇪"
"18","Sun Wen","China PR",55,2,"1991-11-19","2003-09-21","🇨🇳"
"19","Alexandra Popp","Germany",52,1,"2015-06-07","2023-08-03","🇩🇪"
"20","Megan Rapinoe","United States",51,3,"2011-07-02","2021-08-05","🇺🇸"
"21","Linda Medalen","Norway",50,0,"1989-06-28","1999-06-23","🇳🇴"
"22","Lotta Schelin","Sweden",50,1,"2007-09-18","2017-07-25","🇸🇪"
"23","Sandra Smisek","Germany",50,0,"1999-06-24","2007-09-10","🇩🇪"
"24","Cristiane Rozeira de Souza Silva","Brazil",48,0,"2004-08-17","2008-08-18","🇧🇷"
"25","Lea Schüller","Germany",48,0,"2019-06-22","2025-07-08","🇩🇪"
"26","Christine Sinclair","Canada",46,2,"2003-09-20","2021-07-21","🇨🇦"
"27","Hege Riise","Norway",46,3,"1991-11-19","2000-09-17","🇳🇴"
"28","Alessia Russo","England",45,0,"2022-07-11","2025-07-27","🇬🇧"
"29","Anja Mittag","Germany",45,0,"2005-06-09","2015-06-20","🇩🇪"
"30","Célia Šašić","Germany",45,2,"2011-06-26","2015-06-26","🇩🇪"
"31","Mia Hamm","United States",44,2,"1991-11-17","2004-08-14","🇺🇸"
"32","Cristiane","Brazil",43,1,"2007-09-12","2019-06-13","🇧🇷"
"33","Kerstin Garefrekes","Germany",43,0,"2003-09-20","2011-07-05","🇩🇪"
"34","Eugénie Le Sommer","France",42,2,"2012-08-06","2023-08-08","🇫🇷"
"35","Lena Videkull","Sweden",42,0,"1987-06-14","1996-07-25","🇸🇪"
"36","Beth Mead","England",41,0,"2022-07-06","2025-07-13","🇬🇧"
"37","Barbra Banda","Zambia",40,2,"2021-07-21","2024-07-31","🇿🇲"
"38","Tiffeny Milbrett","United States",40,0,"1995-06-06","2003-10-11","🇺🇸"
"39","Homare Sawa","Japan",39,0,"2003-09-20","2011-07-17","🇯🇵"
"40","Maren Meinert","Germany",39,0,"1993-07-03","2003-10-12","🇩🇪"
"41","Pretinha","Brazil",39,0,"1995-06-07","2007-09-20","🇧🇷"
"42","Ellen White","England",37,0,"2011-07-05","2022-07-11","🇬🇧"
"43","Esther González","Spain",37,0,"2022-07-20","2025-07-11","🇪🇸"
"44","Kosovare Asllani","Sweden",37,2,"2009-08-28","2025-07-17","🇸🇪"
"45","Kristine Lilly","United States",37,0,"1995-06-08","2007-09-22","🇺🇸"
"46","Liu Ailing","China PR",37,0,"1991-11-16","1999-07-04","🇨🇳"
"47","Ramona Bachmann","Switzerland",37,3,"2015-06-12","2024-05-31","🇨🇭"
"48","Sam Kerr","Australia",37,0,"2016-08-06","2023-08-16","🇦🇺"
"49","Dagny Mellgren","Norway",36,0,"1999-06-26","2005-06-19","🇳🇴"
"50","Lara Prašnikar","Slovenia",35,1,"2024-04-05","2024-10-29","🇸🇮"
"51","Rose Lavelle","United States",34,0,"2019-06-11","2021-07-24","🇺🇸"
"52","Fridolina Rolfö","Sweden",33,2,"2019-06-16","2025-07-12","🇸🇪"
"53","Lineth Beerensteyn","Netherlands",33,0,"2019-06-20","2024-06-04","🇳🇱"
"54","Sissi","Brazil",33,0,"1996-07-25","1999-07-01","🇧🇷"
"55","Solveig Gulbrandsen","Norway",33,0,"1999-06-23","2015-06-22","🇳🇴"
"56","Sara Däbritz","Germany",32,1,"2015-06-07","2019-06-22","🇩🇪"
"57","Ada Hegerberg","Norway",30,0,"2013-07-22","2025-07-16","🇳🇴"
"58","Carolina Morace","Italy",30,0,"1984-04-08","1997-07-09","🇮🇹"
"59","Fabienne Humm","Switzerland",30,0,"2015-06-12","2015-06-12","🇨🇭"
"60","Jill Roord","Netherlands",29,0,"2019-06-11","2023-08-06","🇳🇱"
"61","Kadidiatou Diani","France",29,4,"2022-07-14","2025-07-09","🇫🇷"
"62","Klara Bühl","Germany",29,0,"2022-07-12","2024-07-31","🇩🇪"
"63","Martha Thomas","Scotland",29,1,"2024-05-31","2024-10-29","🇬🇧"
"64","Kristin Sandberg","Norway",28,0,"1995-02-26","1995-06-06","🇳🇴"
"65","Marie-Antoinette Katoto","France",28,0,"2022-07-10","2025-07-13","🇫🇷"
"66","Pia Sundhage","Sweden",28,1,"1984-04-08","1995-06-07","🇸🇪"
"67","Ragnhild Gulbrandsen","Norway",28,0,"2000-09-28","2007-09-30","🇳🇴"
"68","Sam Mewis","United States",28,0,"2019-06-11","2021-07-30","🇺🇸"
"69","Anneli Andelén","Sweden",27,0,"1991-11-19","1995-06-09","🇸🇪"
"70","Hanna Ljungberg","Sweden",27,0,"1997-06-29","2005-06-16","🇸🇪"
"71","Marie-Laure Delie","France",27,0,"2011-06-26","2015-06-21","🇫🇷"
"72","Salma Paralluelo","Spain",27,0,"2023-08-11","2024-08-06","🇪🇸"
"73","Victoria Pelova","Netherlands",27,0,"2021-07-21","2025-07-13","🇳🇱"
"74","Carin Jennings-Gabarra","United States",26,0,"1991-11-17","1991-11-27","🇺🇸"
"75","Caroline Graham Hansen","Norway",26,2,"2019-06-17","2025-07-06","🇳🇴"
"76","Jennifer Hermoso","Spain",26,2,"2013-07-12","2023-08-05","🇪🇸"
"77","Conny Pohlers","Germany",25,0,"2003-09-27","2005-06-15","🇩🇪"
"78","Georgia Stanway","England",25,4,"2022-07-11","2025-07-13","🇬🇧"
"79","Lauren Hemp","England",25,0,"2022-07-11","2025-07-13","🇬🇧"
"80","Lindsey Horan","United States",25,0,"2019-06-11","2023-07-27","🇺🇸"
"81","Cristiana Girelli","Italy",24,1,"2017-07-25","2025-07-16","🇮🇹"
"82","Guro Reiten","Norway",24,2,"2019-06-08","2024-10-29","🇳🇴"
"83","Isabell Herlovsen","Norway",24,1,"2005-06-09","2019-06-22","🇳🇴"
"84","Jodie Taylor","England",24,0,"2015-06-27","2019-06-14","🇬🇧"
"85","Martina Müller","Germany",24,0,"2003-09-27","2007-09-26","🇩🇪"
"86","Rebecka Blomqvist","Sweden",24,0,"2023-07-29","2024-10-29","🇸🇪"
"87","Simone Laudehr","Germany",24,0,"2007-09-30","2015-06-07","🇩🇪"
"88","Wendie Renard","France",24,1,"2012-07-28","2024-04-09","🇫🇷"
"89","Aitana Bonmatí","Spain",23,0,"2022-07-08","2025-07-23","🇪🇸"
"90","Alexia Putellas","Spain",23,0,"2013-07-12","2025-07-07","🇪🇸"
